Name,Episode,Url
A Rickle in Time,S02E01,https://rickandmortyapi.com/api/episode/12
The Ricks Must Be Crazy,S02E06,https://rickandmortyapi.com/api/episode/17
Big Trouble in Little Sanchez,S02E07,https://rickandmortyapi.com/api/episode/18
